provincia,anio,monto_nominal,ipc_promedio_anual,monto_real_base2016
CABA,2022,106439.2455,845.8674583333333,12583.442530077236
CABA,2023,229083.059,1975.006925,11599.101557580616
CABA,2024,726367.8828,6317.741325,11497.271658237765
CABA,2025,871055.1257,8966.166533333333,9714.911299736585
Catamarca,2003,349.5743,8.396631393694841,4163.268382395596
Catamarca,2004,541.5089,8.767402951109663,6176.388869311213
Catamarca,2005,677.2989,9.612726384123917,7045.856429645247
Catamarca,2006,833.9433,10.660302377959722,7822.885978583365
Catamarca,2007,1108.7254,12.18514230002,9098.994272706854
Catamarca,2008,1372.9253,14.979653147032298,9165.267623516356
Catamarca,2009,1454.561,17.456561530567843,8332.459960416298
Catamarca,2010,1944.3135,21.376348487281444,9095.629691651186
Catamarca,2011,2829.6802,26.570964534575943,10649.520066604386
Catamarca,2012,3284.3429,32.79133180641779,10015.887489379744
Catamarca,2013,4334.8773,40.85103331144704,10611.426318034668
Catamarca,2014,5970.77852,56.976538710053426,10479.36335758224
Catamarca,2015,7611.7963,73.66153516686742,10333.474971376576
Catamarca,2016,10048.8574,100.0,10048.8574
Catamarca,2017,13920.5511,112.88710833333333,12331.391339120286
Catamarca,2018,23482.4476488,151.581675,15491.613777720824
Catamarca,2019,34582.2843899,232.75109166666667,14858.054646388877
Catamarca,2020,46990.357939,330.5416833333333,14216.167070103766
Catamarca,2021,77346.96803999999,490.55485833333336,15767.24126284007
Catamarca,2022,147613.099254,845.8674583333333,17451.090924440046
Catamarca,2023,323818.724314,1975.006925,16395.827286225845
Catamarca,2024,974264.868003,6317.741325,15421.094626773123
Catamarca,2025,1341362.10195,8966.166533333333,14960.263084153588
Chaco,2003,633.1451,8.396631393694841,7540.465578558543
Chaco,2004,980.7749,8.767402951109663,11186.606860311655
Chaco,2005,1226.7162,9.612726384123917,12761.376439737292
Chaco,2006,1506.3094,10.660302377959722,14130.081367244418
Chaco,2007,1998.7075,12.18514230002,16402.824446266168
Chaco,2008,2468.1206,14.979653147032298,16476.48697719662
Chaco,2009,2598.0639,17.456561530567843,14883.022039882146
Chaco,2010,3453.1404,21.376348487281444,16154.023696117036
Chaco,2011,5125.0852,26.570964534575943,19288.29189971968
Chaco,2012,5844.5068,32.79133180641779,17823.328538477163
Chaco,2013,7678.5041,40.85103331144704,18796.352203527676
